match_attendance,match_home_team_Brisbane Lions,match_home_team_Carlton,match_home_team_Collingwood,match_home_team_Essendon,match_home_team_Geelong,match_home_team_Gold Coast,match_home_team_Hawthorn,match_home_team_Port Adelaide,match_home_team_Richmond,match_home_team_Sydney,match_home_team_West Coast,Capacity,n_games,playoff,start_time_Other Night,start_time_Sunday Afternoon,start_time_Sunday Night,season_Winter,match_weather_type_Overcast,match_weather_type_Storm,match_weather_type_Sunny,match_weather_type_Windy
40.567,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,0,0,1,0
48.429,0,1,0,0,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,0,0
16.274,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,1,0,0,0
83.563,0,0,0,0,0,0,0,0,1,0,0,100.024,4,0,1,0,0,1,0,0,1,0
18.404,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
38.849,0,0,1,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,1,0,0
33.136,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,1,0,1,1,0,0,0
37.308,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,1,0,0,0
21.485,0,0,0,0,0,1,0,0,0,0,0,22.5,4,0,1,0,0,1,0,0,1,0
11.506,0,0,0,0,0,0,0,0,1,0,0,12.5,4,0,1,0,0,1,0,0,0,0
34.583,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,1,1,0,0,0
52.56,0,0,1,0,0,0,0,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
53.077,0,0,0,1,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,1,0
25.078,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,1,0,0,0
36.815,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,0,0,0,1,0,0,1,0
62.991,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,0,0
22.15,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
31.925,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,1,0,1,0,0,0,1
23.192,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,0,1,1,0,0,0,1
31.412,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,1,0,0,1,0
63.476,0,0,0,0,1,0,0,0,0,0,0,100.024,3,0,1,0,0,1,0,0,1,0
14.945,0,0,0,0,0,1,0,0,0,0,0,22.5,3,0,1,0,0,1,0,0,1,0
43.617,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,0,1,0
23.782,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,1,0,1,1,0,0,0
42.329,0,0,0,1,0,0,0,0,0,0,0,56.347,4,0,0,0,0,1,1,0,0,0
16.377,0,0,0,0,0,0,1,0,0,0,0,19,4,0,0,0,0,1,0,0,1,0
21.51,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
42.788,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,1,0,0,0
35.059,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,1,0,0,0
64.537,0,0,0,0,0,0,1,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
16.149,0,0,0,0,0,1,0,0,0,0,0,22.5,4,0,0,0,0,1,0,0,1,0
61.9,0,0,0,0,0,0,0,0,1,0,0,100.024,4,0,0,0,0,1,1,0,0,0
38.053,0,0,0,0,0,0,0,0,0,1,0,83.5,4,0,1,0,0,1,0,0,0,0
23.246,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,1,0,1,0,0,1,0
38.241,0,1,0,0,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,0,1,0
17.275,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,0,1,1,0,0,1,0
59.65,0,0,0,0,0,0,0,0,1,0,0,100.024,4,0,0,0,0,1,1,0,0,0
43.806,0,0,0,1,0,0,0,0,0,0,0,56.347,4,0,1,0,0,1,0,0,1,0
23.063,0,0,0,0,0,0,0,0,0,0,0,45,4,0,1,0,0,1,0,0,0,0
17.276,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,0,1,0,1,0,1,0,0
83.985,0,0,1,0,0,0,0,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
40.164,0,0,0,0,0,0,0,0,0,0,1,43.5,1,0,1,0,0,1,0,0,0,0
14.604,0,0,0,0,0,0,1,0,0,0,0,19,3,0,0,0,0,1,0,1,0,0
55.442,0,0,0,1,0,0,0,0,0,0,0,100.024,3,0,1,0,0,1,0,0,1,0
16.488,0,0,0,0,0,1,0,0,0,0,0,22.5,3,0,1,0,0,1,0,0,0,0
53.601,0,0,1,0,0,0,0,0,0,0,0,100.024,3,0,0,1,0,1,0,1,0,0
16.887,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,1,0,1,1,0,0,0
38.118,0,0,0,0,0,0,0,0,0,0,0,45,1,0,1,0,0,1,0,0,0,0
85.936,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
10.832,0,0,0,0,0,0,0,0,1,0,0,13.5,4,0,0,0,0,1,0,1,0,0
23.415,0,0,0,0,0,0,0,0,0,1,0,48,3,0,0,1,0,1,0,1,0,0
19.906,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,0,1,0,1,1,0,0,0
19.449,0,0,0,0,0,0,0,0,0,1,0,48,4,0,0,0,0,1,0,1,0,0
74.123,0,0,0,1,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
23.302,0,0,0,0,0,1,0,0,0,0,0,22.5,4,0,1,0,0,1,0,0,0,0
33.761,0,0,0,0,1,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,1,0,0
22.716,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,1,0,0,0
17.482,0,0,0,0,0,1,0,0,0,0,0,22.5,4,0,1,0,0,1,0,0,0,0
73.163,0,0,1,0,0,0,0,0,0,0,0,100.024,2,0,0,1,0,1,0,0,1,0
40.586,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,1,1,0,0,1,0
24.588,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,0,1,0,0
42.342,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,1,0,0
38.722,0,0,0,1,0,0,0,0,0,0,0,56.347,4,0,1,0,0,1,0,0,1,0
21.863,0,0,0,0,0,0,0,1,0,0,0,45,4,0,1,0,0,1,0,0,1,0
17.93,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,0,1,0,1,0,0,1,0
16.82,0,0,0,0,0,0,1,0,0,0,0,19,3,0,0,1,0,1,1,0,0,0
38.106,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,0,0,1,0
27.532,0,0,0,0,0,0,1,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
23.565,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,1,0
34.337,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,1,0,0
33.576,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,1,1,0,1,0,0
52.052,0,1,0,0,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,0,0
16.168,0,0,0,0,0,1,0,0,0,0,0,22.5,4,0,0,0,0,1,1,0,0,0
38.253,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,0,0,0,1,1,0,0,0
47.788,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,0,0
25.025,0,0,0,0,0,0,0,0,0,1,0,83.5,3,0,0,1,0,1,0,0,1,0
14.169,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,1,0,1,0,0,1,0
42.198,0,0,0,0,0,0,1,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
25.9,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,1,0,0,0
13.5,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,1,0
38.023,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,1,1,0,0,0
34.849,0,0,0,1,0,0,0,0,0,0,0,56.347,3,0,0,0,1,1,1,0,0,0
85.705,0,0,1,0,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
19.314,0,0,0,0,0,1,0,0,0,0,0,22.5,5,0,0,0,0,1,1,0,0,0
27.721,0,0,0,0,0,0,0,0,0,1,0,48,5,0,1,0,0,1,1,0,0,0
36.062,0,0,0,0,0,0,0,0,0,0,1,43.5,5,0,1,0,0,1,1,0,0,0
55.606,0,1,0,0,0,0,0,0,0,0,0,100.024,5,0,1,0,0,1,0,0,0,0
29.34,0,0,0,0,0,0,0,1,0,0,0,53.5,2,0,0,1,0,1,0,0,1,0
